user_id,book_id
9,8
15,398
15,275
37,7173
34,380
34,483
34,8598
34,3581
70,498
76,4250
94,1167
29,3508
29,4475
29,323
29,131
29,2304
105,233
113,6756
113,7127
29,2284
29,662
116,474
116,8697
124,682
124,5
94,4475
94,5704
94,1847
137,362
94,1239
94,10
94,94
124,546
29,709
29,4359
142,6932
124,8456
149,3156
149,3048
149,8355
149,2259
149,4388
149,1205
149,430
149,1915
149,3828
149,7277
149,8782
149,8382
149,6064
149,374
124,4531
124,2926
167,462
167,177
167,76
167,736
175,3156
175,969
185,4421
185,297
185,8167
185,2559
137,1272
184,323
112,217
112,3646
112,2770
112,5120
10,4369
207,25
210,614
194,7231
194,1624
194,360
194,516
194,301
219,2498
228,1519
185,48
212,690
229,1853
137,8859
116,658
179,2298
116,4232
116,239
116,38
116,1238
116,1365
116,1090
116,3106
116,5269
116,6173
116,4684
116,3404
116,2498
116,3986
242,28
245,1167
248,65
70,2727
247,7290
162,199
162,2938
162,5220
162,4337
162,345
162,44
162,4253
162,5905
162,200
162,1186
162,136
162,13
162,87
247,2107
256,1514
256,408
297,408
174,92
320,2674
320,969
319,916
332,8175
332,2798
332,2637
332,522
270,4120
270,4973
187,378
270,374
319,1999
352,2524
357,2794
206,2498
69,2357
364,741
364,398
69,1238
364,92
364,1969
364,2440
128,6600
142,2231
142,474
142,2284
332,5437
187,3985
360,217
301,383
301,2047
301,94
301,137
301,317
301,669
301,72
301,243
301,436
301,1381
222,3092
222,1238
222,881
222,1014
301,1643
187,2757
206,5604
206,3349
395,2063
399,45
399,550
403,669
403,653
403,100
396,2632
399,4139
399,3425
396,2757
396,8435
418,42
399,1503
418,1206
418,5374
418,483
401,13
401,436
209,11
427,7755
427,3123
439,249
439,121
399,5187
352,457
200,1969
449,26
453,1238
453,7251
322,9759
322,9927
245,8
245,739
449,6613
449,177
453,495
463,173
399,3792
428,4134
428,9047
453,8611
248,9025
458,1365
488,1460
488,1645
488,1035
475,2846
495,284
495,2284
453,45
481,8286
